Company_name,Website,Crunchbase,Twitter,Facebook,Linkedin
Wave,http://www.waveapps.com/,https://www.crunchbase.com/organization/wave-financial,http://twitter.com/waveHQ,http://www.facebook.com/waveHQ,http://www.linkedin.com/company/1196866
FreshBooks,http://www.freshbooks.com/,https://www.crunchbase.com/organization/freshbooks,http://twitter.com/freshbooks,http://www.facebook.com/freshbooks,http://www.linkedin.com/company/freshbooks
Jobber,https://getjobber.com/,https://www.crunchbase.com/organization/jobber,http://twitter.com/getjobber,http://www.facebook.com/GetJobber,https://www.linkedin.com/company/jobber-software
Relay,https://relayfi.com/,https://www.crunchbase.com/organization/relay-financial,https://twitter.com/relayfinancial,https://www.facebook.com/pg/relayfinancial,https://www.linkedin.com/company/relay-financial
Humi,https://www.humi.ca/,https://www.crunchbase.com/organization/humi-hr,https://twitter.com/gethumi,https://www.facebook.com/gethumi/,https://www.linkedin.com/company-beta/15197446/?pathWildcard=15197446
FundThrough,https://www.fundthrough.com/,https://www.crunchbase.com/organization/fundthrough,https://twitter.com/FundThrough,https://www.facebook.com/fundthrough/timeline?ref=page_internal,https://www.linkedin.com/company/fundthrough
Plooto,https://www.plooto.com/,https://www.crunchbase.com/organization/plooto,https://www.twitter.com/plootoinc,https://www.facebook.com/plootoinc,https://www.linkedin.com/company/plooto
Joist,https://www.joist.com/,https://www.crunchbase.com/organization/joist,https://twitter.com/joist,https://www.facebook.com/joistapp,https://www.linkedin.com/company/joist
ProntoForms,http://www.prontoforms.com/,https://www.crunchbase.com/organization/prontoforms,http://twitter.com/ProntoForms,http://www.facebook.com/ProntoForms,https://www.linkedin.com/company/truecontext
Reply.io,https://reply.io/,https://www.crunchbase.com/organization/replyapp-io,https://twitter.com/ReplyAppTeam,https://www.facebook.com/reply.io/,https://www.linkedin.com/company/reply-io
Smile.io,https://smile.io/,https://www.crunchbase.com/organization/smile-io,http://twitter.com/smilerewards,https://www.facebook.com/smile.io,https://www.linkedin.com/company/smile.io/
Wagepoint,http://wagepoint.com/,https://www.crunchbase.com/organization/wagepoint,http://twitter.com/wagepoint,http://www.facebook.com/Wagepoint,http://www.linkedin.com/company/wagepoint
Method:CRM,https://www.method.me/,https://www.crunchbase.com/organization/method-crm,http://twitter.com/MethodCRM,http://www.facebook.com/Method-Integration-Inc/17254056277,http://www.linkedin.com/company/method-integration
Hoppier,https://www.hoppier.com/,https://www.crunchbase.com/organization/desk-nibbles,https://twitter.com/hoppieroffice,https://www.facebook.com/pg/hoppieroffice,https://www.linkedin.com/company/hoppier/
Parkbench.com,http://parkbench.com/,https://www.crunchbase.com/organization/parkbench-com,https://twitter.com/parkbenchfamily,https://www.facebook.com/parkbenchfamily/,https://www.linkedin.com/company/parkbench
Webware.io,http://www.webware.io/,https://www.crunchbase.com/organization/webware-io,https://www.twitter.com/webwareio,https://www.facebook.com/webwareio,N/A
Ario Platform,https://www.arioplatform.com/,https://www.crunchbase.com/organization/ario-platform,https://www.twitter.com/https://twitter.com/ArioPlatform,https://www.facebook.com/arioplatform/,https://www.linkedin.com/company/ario-platform/
Fortuna.ai,http://www.fortuna.ai/,https://www.crunchbase.com/organization/fortuna-ai,https://twitter.com/fortunaai2,https://www.facebook.com/fortunalabs/,https://www.linkedin.com/company/fortuna-ai/
Needls.com,http://needls.com/,https://www.crunchbase.com/organization/needls-com,http://twitter.com/needlsads,http://www.facebook.com/TheOfficialNeedlsPage,http://www.linkedin.com/company/needls-com
TeamGram,https://www.teamgram.com/,https://www.crunchbase.com/organization/teamgram,N/A,N/A,https://www.linkedin.com/company/teamgram/
Eden App,http://edenapp.com/,https://www.crunchbase.com/organization/eden-app,https://www.twitter.com/edenapp,https://www.facebook.com/edenapp,https://www.linkedin.com/company-beta/10368324/admin/updates/
Greenline POS,https://getgreenline.co/,https://www.crunchbase.com/organization/getgreenline,https://twitter.com/getgreenline,https://www.facebook.com/GetGreenline/,N/A
HostPapa,https://www.hostpapa.com/,https://www.crunchbase.com/organization/hostpapa,https://twitter.com/hostpapa,https://www.facebook.com/pg/HostPapa/,https://www.linkedin.com/company/hostpapa/about/
